"species";"obs_id";"obs_letter";"metric";"quadrat1";"quadrat2";"quadrat3";"quadrat4";"quadrat5";"quadrat6";"quadrat7";"quadrat8";"quadrat9";"quadrat10"
"ALLCHA";"experimenter";"experimenter";"vegetation_cover";"80";"92";"71";"66";"96";"79";"78";"81";"68";"75"
"ALLCHA";"experimenter";"experimenter";"height_max";"22,4";"21,2";"14,9";"10,4";"27,2";"23,9";"31,5";"47,4";"17,1";"11,2"
"ALLCHA";"experimenter";"experimenter";"count_TRUE";"8";"3";"0";"15";"17";"2";"16";"0";"8";"8"
"ALLCHA";"experimenter";"experimenter";"occupied_cells_TRUE";"4";"3";"0";"10";"13";"2";"12";"0";"6";"4"
"ALLCHA";"experimenter";"experimenter";"height_B2";"3,1";"9,1";"3,3";"0";"1,6";"1,7";"3,9";"42,3";"0,3";"0"
"ALLCHA";"experimenter";"experimenter";"height_E2";"3,2";"9,4";"0";"1,1";"4,9";"2";"0";"4,4";"1,5";"5,9"
"ALLCHA";"experimenter";"experimenter";"height_H2";"13,1";"2,2";"2,6";"1,6";"3,7";"2,6";"1,5";"2,5";"0";"1,9"
"ALLCHA";"experimenter";"experimenter";"height_B5";"0";"3,2";"0";"1,7";"0";"2,6";"0";"6,9";"1,1";"2,1"
"ALLCHA";"experimenter";"experimenter";"height_E5";"1,3";"9,9";"1,4";"1,6";"0,6";"1,6";"0";"1,2";"1,8";"0,6"
"ALLCHA";"experimenter";"experimenter";"height_H5";"1";"1,7";"2";"1,7";"0";"1,4";"3,6";"5,8";"6,4";"1,1"
"ALLCHA";"experimenter";"experimenter";"height_B8";"3,2";"5";"5,1";"0";"5,6";"0";"1";"0";"1,5";"0"
"ALLCHA";"experimenter";"experimenter";"height_E8";"4,1";"1,6";"1,3";"0";"1,3";"1,3";"1,4";"1";"0";"2,2"
"ALLCHA";"experimenter";"experimenter";"height_H8";"1,8";"11";"0,9";"0";"2,4";"1";"1,5";"19,9";"2";"1,8"
"ALLCHA";"obs_autm";"A";"count_30s";"4";"2";"0";"7";"5";"1";"5";"0";"5";"3"
"ALLCHA";"obs_autm";"A";"count_1m";"6";"3";"0";"10";"12";"2";"11";"0";"7";"4"
"ALLCHA";"obs_autm";"A";"counting_time_1m";"69";"123";"165";"71";"133";"80";"113";"180";"76";"105"
"ALLCHA";"obs_autm";"A";"count_cells";"6";"3";"0";"13";"14";"2";"15";"0";"7";"4"
"ALLCHA";"obs_autm";"A";"counting_time_cells";"283";"210";"102";"305";"586";"150";"327";"126";"235";"293"
"ALLCHA";"obs_dtwj";"E";"count_30s";"6";"1";"0";"9";"4";"1";"4";"0";"6";"2"
"ALLCHA";"obs_dtwj";"E";"count_1m";"5";"2";"0";"12";"11";"1";"11";"0";"7";"3"
"ALLCHA";"obs_dtwj";"E";"counting_time_1m";"60";"60";"110";"102";"145";"60";"120";"120";"180";"90"
"ALLCHA";"obs_dtwj";"E";"count_cells";"6";"3";"0";"13";"12";"2";"16";"0";"8";"3"
"ALLCHA";"obs_dtwj";"E";"counting_time_cells";"502";"300";"275";"286";"484";"242";"628";"220";"300";"381"
"ALLCHA";"obs_hdbg";"G";"count_30s";"4";"2";"0";"8";"3";"2";"2";"0";"1";"2"
"ALLCHA";"obs_hdbg";"G";"count_1m";"4";"2";"0";"9";"5";"2";"8";"0";"5";"3"
"ALLCHA";"obs_hdbg";"G";"counting_time_1m";"116";"158";"300";"120";"131";"96";"180";"209";"138";"174"
"ALLCHA";"obs_hdbg";"G";"count_cells";"4";"2";"0";"9";"9";"2";"10";"0";"4";"3"
"ALLCHA";"obs_hdbg";"G";"counting_time_cells";"456";"219";"303";"240";"275";"283";"379";"156";"163";"207"
"ALLCHA";"obs_peyb";"I";"count_30s";"4";"1";"0";"7";"5";"1";"7";"0";"2";"2"
"ALLCHA";"obs_peyb";"I";"count_1m";"4";"1";"0";"9";"7";"1";"4";"0";"5";"3"
"ALLCHA";"obs_peyb";"I";"counting_time_1m";"167";"185";"146";"93";"286";"134";"169";"227";"143";"128"
"ALLCHA";"obs_peyb";"I";"count_cells";"5";"2";"1";"11";"6";"2";"13";"0";"4";"3"
"ALLCHA";"obs_peyb";"I";"counting_time_cells";"326";"404";"331";"342";"521";"606";"431";"278";"327";"207"
"ALLCHA";"obs_fxsg";"D";"count_30s";"3";"1";"0";"7";"1";"5";"2";"1";"2";"1"
"ALLCHA";"obs_fxsg";"D";"count_1m";"3";"1";"0";"9";"4";"2";"1";"0";"3";"2"
"ALLCHA";"obs_fxsg";"D";"counting_time_1m";"70";"83";"73";"60";"71";"60";"78";"117";"60";"52"
"ALLCHA";"obs_fxsg";"D";"count_cells";"5";"2";"0";"11";"7";"2";"9";"0";"2";"2"
"ALLCHA";"obs_fxsg";"D";"counting_time_cells";"282";"180";"220";"317";"296";"301";"405";"225";"213";"216"
"ALLCHA";"obs_bbyx";"F";"count_30s";"2";"1";"0";"7";"4";"2";"1";"0";"1";"3"
"ALLCHA";"obs_bbyx";"F";"count_1m";"5";"1";"0";"11";"4";"2";"5";"0";"1";"4"
"ALLCHA";"obs_bbyx";"F";"counting_time_1m";"134";"98";"187";"222";"142";"153";"145";"252";"116";"70"
"ALLCHA";"obs_bbyx";"F";"count_cells";"6";"1";"0";"15";"10";"4";"10";"0";"7";"7"
"ALLCHA";"obs_bbyx";"F";"counting_time_cells";"382";"434";"565";"434";"895";"342";"417";"482";"412";"550"
"ALLsp";"experimenter";"experimenter";"vegetation_cover";"96";"91";"92";"93";"95";"94";"95";"84";"92";"86"
"ALLsp";"experimenter";"experimenter";"height_max";"61";"14";"86";"17";"20";"24";"17";"35";"12";"23"
