"obs_id";"exp_bota"
"obs_dwhm";"5"
"obs_wolx";"8"
"obs_pdhq";"6"
"obs_aupj";"7"
"obs_xdtr";"5"
"obs_ntdg";"3"
"obs_xbmp";"2"
"obs_ikoz";"4"
"obs_sjfy";"4"
"obs_jdpu";"10"
"obs_ubmn";"2"
"obs_peyb";"5"
"obs_lgur";"1"
"obs_fxsg";"2"
"obs_pimm";"2"
"obs_hnes";"4"
"obs_jaho";"4"
"obs_bqiy";"4"
"obs_oxup";"2"
"obs_cdgr";"10"
"obs_pizh";"10"
"obs_vduy";"5"
"obs_ilkl";"2"
"obs_ohjn";"4"
"obs_lcob";"2"
"obs_zvhn";"6"
"obs_ywgi";"5"
"obs_ycff";"7"
"obs_ocov";"1"
"obs_bbyx";"4"
"obs_autm";"4"
"obs_dtwj";"10"
"obs_hdbg";"5"
"obs_jqda";"4"
"obs_lbev";"4"
"obs_adse";"10"
"obs_navl";"2"
"obs_ohou";"1"
"obs_kyyn";"3"
"obs_yllr";"9"
"obs_rbhv";"5"
"obs_citm";"5"
"obs_avas";"10"
"obs_fxol";"7"
"obs_nfsc";"5"
"obs_cola";"4"
"obs_heia";"3"
"obs_ymis";"1"
"obs_ydiz";"5"
"obs_qmvf";"1"
"obs_dpje";"5"
"obs_cslu";"6"
"obs_eppk";"3"
"obs_plpm";"4"
"obs_vrqz";"4"
"obs_atub";"4"
"obs_fjab";"6"
"obs_llba";"8"
"obs_hdlk";"2"
"obs_ziwg";"4"
"obs_rsjk";"4"
"obs_emom";"2"
"obs_tyds";"10"
"obs_jots";"5"
"obs_sker";"2"
"obs_kjul";"3"
"obs_bicn";"3"
"obs_cpof";"1"
"obs_nbeb";"3"
"obs_raux";"8"
"obs_fdod";"2"
"obs_wpdy";"10"
"obs_gyoc";"10"
"obs_hqzj";"1"
"obs_eruf";"3"
"obs_guig";"1"
"obs_oupc";"3"
"obs_urcs";"5"
"obs_pspx";"4"
"obs_aswy";"1"
"obs_okss";"1"
"obs_zjcj";"9"
"obs_dawu";"1"
"obs_jdlo";"2"
"obs_cyjn";"1"
"obs_fdhm";"7"
"obs_aoxz";"2"
"obs_hmgi";"2"
"obs_oppu";"10"
"obs_kfkt";"1"
"obs_wxrb";"2"
"obs_cqsa";"1"
"obs_zalk";"1"
"obs_trjf";"7"
"obs_awgv";"4"
"obs_ajeg";"2"
"obs_werf";"3"
"obs_nscd";"5"
"obs_rjmb";"1"
"obs_eonq";"4"
"obs_qsyn";"5"
"obs_dkzp";"2"
"obs_lktg";"3"
"obs_pgxa";"1"
"obs_aslf";"3"
"obs_yhzj";"3"
"obs_rfen";"1"
"obs_xoto";"1"
"obs_qjqk";"1"
"obs_nfuc";"2"
"obs_enjt";"6"
"obs_dzxs";"7"
"obs_wmyv";"7"
"obs_ruyi";"10"
"obs_zlxw";"1"
"obs_nzcz";"2"
"obs_phev";"8"
"obs_size";"6"
"obs_fbti";"1"
"obs_frnf";"8"
"obs_hubl";"5"
"obs_njds";"5"
"obs_olxe";"8"
"obs_uzuk";"1"
"obs_dbon";"6"
"obs_aczj";"8"
"obs_llbr";"8"
"obs_oezi";"7"
"obs_asyh";"8"
"obs_diaf";"8"
"obs_nowb";"5"
"obs_ufnn";"8"
"obs_splw";"6"
"obs_svrr";"6"
"obs_lhdt";"6"
"obs_khjz";"6"
"obs_gvxj";"7"
"obs_zyls";"4"
"obs_vypj";"8"
"obs_sjag";"9"
"obs_eulm";"1"
"obs_ntol";"3"
"obs_sqbm";"2"
"obs_pmtg";"2"
"obs_ppmb";"10"
"obs_owlx";"1"
"obs_cgkm";"4"
"obs_hrjo";"1"
"obs_lqps";"1"
"obs_aefg";"8"
"obs_kgqc";"4"
"obs_gdvs";"1"
"obs_jxbn";"2"
"obs_xhho";"4"
"obs_dglw";"4"
"obs_zkxe";"2"
"obs_yuly";"2"
"obs_yvfg";"3"
"obs_twze";"2"
"obs_ufdr";"4"
"obs_thsa";"2"
"obs_asix";"1"
"obs_jsrp";"2"
"obs_ugmx";"2"
"obs_qigp";"5"
"obs_ujsl";"5"
"obs_afyw";"3"
"obs_btow";"4"
