"species";"obs_id";"obs_letter";"order_round_1";"order_round_2";"order_round_3"
"PLALAN";"obs_xdtr";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"PLALAN";"obs_sjfy";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-4-6-7-5-3-10-1-8-2"
"PLALAN";"obs_jdpu";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"PLALAN";"obs_xbmp";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"PLALAN";"obs_ikoz";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"PLALAN";"obs_ntdg";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"ALLsp";"obs_bqiy";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"ALLsp";"obs_pimm";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"ALLsp";"obs_jaho";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"ALLsp";"obs_oxup";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"ALLsp";"obs_hnes";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"CALARV2";"obs_pizh";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"CALARV2";"obs_cdgr";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"CALARV2";"obs_ohjn";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"CALARV2";"obs_vduy";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"CALARV2";"obs_ilkl";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"SANMIN";"obs_ocov";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"SANMIN";"obs_ycff";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"SANMIN";"obs_lcob";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"SANMIN";"obs_ywgi";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-3-5-10-1-2";"3-10-1-8-4-6-5-2-9-7"
"SANMIN";"obs_zvhn";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"ALLCHA";"obs_autm";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"ALLCHA";"obs_fxsg";"D";"4-5-6-7-8-9-10-1-2-3";"3-1-2-7-4-6-9-8-10-5";"6-7-5-3-10-1-8-2-9-4"
"ALLCHA";"obs_dtwj";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"ALLCHA";"obs_bbyx";"F";"6-7-8-9-10-1-2-3-4-5";"2-7-4-6-9-8-10-5-3-1";"5-3-10-1-8-2-9-4-6-7"
"ALLCHA";"obs_hdbg";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"ALLCHA";"obs_peyb";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"EUPHEL";"obs_ubmn";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"EUPHEL";"obs_adse";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"EUPHEL";"obs_navl";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"EUPHEL";"obs_jqda";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"EUPHEL";"obs_lbev";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"EROCIC";"obs_hdbg";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"EROCIC";"obs_yllr";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-4-6-7-5-3-10-1-8-2"
"EROCIC";"obs_kyyn";"C";"3-4-5-6-7-8-9-10-1-2";"5-1-3-2-7-4-6-9-8-10";"4-6-7-5-3-10-1-8-2-9"
"EROCIC";"obs_rbhv";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
"EROCIC";"obs_ohou";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"EROCIC";"obs_bqiy";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-3-10-5-8-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"CHRALT";"obs_fxol";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
