Species_name;Species_code;Species_conspicuousness;Date
Plantago lanceolata;PLALAN;1;07/10/2020
Allium sp;ALLsp;2;16/10/2020
Calendula arvensis;CALARV2;2;20/10/2020
Sanguisorba minor;SANMIN;2;28/10/2020
Allium chamaemoly;ALLCHA;1;05/02/2021
Euphorbia helioscopia;EUPHEL;3;04/03/2021
Erodium cicutarium;EROCIC;1;18/03/2021
Chrysosplenium alternifolium;CHRALT;2;13/04/2021
Fagus sylvatica;FAGSYL;1;14/04/2021
Hieracium sp;HIEsp;2;15/04/2021
Bromus rubens;BRORUB;1;16/04/2021
Sherardia arvensis;SHEARV;1;23/04/2021
Mentha suaveolens;MENSUA;4;05/05/2021
Scabiosa atropurpurea;SCAATR;2;06/05/2021
Ornitogalum angustifolium;ORNANG;3;11/05/2021
Evax pygmaea;EVAPYG;1;18/05/2021
Ophrys lutea;OPHLUT;2;19/05/2021
Carex flacca;CARFLA;1;26/05/2021
Anacamptis pyramidalis;ANAPYR;4;27/05/2021
Rumex acetosella;RUMACE;2;07/06/2021
Equisetum telmateia;EQUTEL;4;11/06/2021
Linaria vulgaris;LINVUL;3;15/06/2021
Melampyrum arvense;MELARV;3;16/06/2021
Veronica chamaedrys;VERCHA;3;17/06/2021
Limonium narbonense;LIMNAR;3;25/06/2021
Erigeron annuus;ERIANN;4;28/06/2021
Ambrosia artemisiifolia;AMBART;2;07/07/2021
Limonium girardianum;LIMGIR;1;28/07/2021
Euphorbia peplis;EUPPEP2;1;29/07/2021
Epipogium aphyllum;EPIAPH;2;06/08/2021
