"species";"obs_id";"obs_letter";"counting_method";"quadrat_num";"count";"counting_time";"prop_detect";"quadrat_order";"count_TRUE";"species_conspicuousness";"habitat_closure";"exp_bota";"excess_detect"
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat1";4;30;0,5;1;8;1;-0,209042250927803;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat10";3;30;0,375;10;8;1;-0,377625312114079;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat2";2;30;0,666666666666667;2;3;1;0,129232383864122;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat4";7;30;0,466666666666667;4;15;1;-0,591917012601486;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat5";5;30;0,294117647058824;5;17;1;0,0227203725469055;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat6";1;30;0,5;6;2;1;-0,310170865581755;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat7";5;30;0,3125;7;16;1;-0,340625606734331;2;0
"ALLCHA";"obs_autm";"A";"count_30s";"quadrat9";5;30;0,625;9;8;1;-0,531007530296334;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat1";6;69;0,75;5;8;1;-0,209042250927803;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat10";4;105;0,5;2;8;1;-0,377625312114079;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat2";3;123;1;6;3;1;0,129232383864122;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat4";10;71;0,666666666666667;8;15;1;-0,591917012601486;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat5";12;133;0,705882352941177;3;17;1;0,0227203725469055;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat6";2;80;1;9;2;1;-0,310170865581755;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat7";11;113;0,6875;7;16;1;-0,340625606734331;2;0
"ALLCHA";"obs_autm";"A";"count_1m";"quadrat9";7;76;0,875;10;8;1;-0,531007530296334;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat1";6;283;0,75;9;8;1;-0,209042250927803;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat10";4;293;0,5;8;8;1;-0,377625312114079;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat2";3;210;1;1;3;1;0,129232383864122;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat4";13;305;0,866666666666667;3;15;1;-0,591917012601486;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat5";14;586;0,823529411764706;6;17;1;0,0227203725469055;2;0
"ALLCHA";"obs_autm";"A";"count_cells";"quadrat6";2;150;1;4;2;1;-0,310170865581755;2;0
