"species";"date";"obs_id";"obs_letter";"quadrat_num";"count_30s";"count_1m";"counting_time_1m";"count_cells";"counting_time_cells";"prop_30s";"prop_1m";"prop_cells";"quadrat_order_30s";"quadrat_order_1m";"quadrat_order_cells";"vegetation_cover";"height_max";"count_TRUE";"occupied_cells_TRUE";"veg_height_median";"species_conspicuousness";"habitat_closure";"exp_bota"
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat1";9;10;30;17;175;0,473684210526316;0,526315789473684;0,894736842105263;1;5;9;14;53;19;16;0;1;-1,66997353441023;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat2";52;66;101;136;620;0,263959390862944;0,33502538071066;0,690355329949239;2;6;1;19;9;197;52;0;1;-1,57206434672533;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat3";1;3;101;0;45;0,0909090909090909;0,272727272727273;0;3;4;7;7;23;11;10;0;1;-1,80704639716909;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat4";35;44;33;77;342;0,416666666666667;0,523809523809524;0,916666666666667;4;8;3;12;14;84;50;0;1;-1,70913720948419;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat5";36;43;45;64;372;0,22360248447205;0,267080745341615;0,397515527950311;5;3;6;12;9;161;69;0,6;1;-1,6765184986374;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat6";42;75;56;103;350;0,333333333333333;0,595238095238095;0,817460317460317;6;9;4;14;17;126;59;1,2;1;-1,60473611271665;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat7";45;112;67;114;410;0,1875;0,466666666666667;0,475;7;7;5;16;13;240;75;0;1;-1,63080985933627;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat8";0;0;60;2;190;0;0;2;8;1;10;11;126;1;1;0,6;1;-1,69610033617438;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat9";65;101;70;173;550;0,311004784688995;0,483253588516746;0,827751196172249;9;10;2;22;8;209;80;0,8;1;-1,469827219652;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat10";15;19;35;27;255;0,3125;0,395833333333333;0,5625;10;2;8;18;13;48;32;0,3;1;-1,57533682883891;3
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat1";9;15;80;19;285;0,473684210526316;0,789473684210526;1;9;3;7;14;53;19;16;0;1;-1,66997353441023;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat2";40;110;135;172;495;0,203045685279188;0,558375634517767;0,873096446700508;10;4;9;19;9;197;52;0;1;-1,57206434672533;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat3";0;0;90;5;150;0;0;0,454545454545455;1;2;5;7;23;11;10;0;1;-1,80704639716909;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat4";48;71;90;80;390;0,571428571428571;0,845238095238095;0,952380952380952;2;6;1;12;14;84;50;0;1;-1,70913720948419;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat5";56;66;90;174;525;0,347826086956522;0,409937888198758;1,08074534161491;3;1;4;12;9;161;69;0,6;1;-1,6765184986374;5
