"species";"quadrat_num";"vegetation_cover";"height_max";"count_TRUE";"occupied_cells_TRUE";"veg_height_median";"species_conspicuousness";"habitat_closure"
"ALLCHA";"quadrat1";80;22,4;8;4;3,1;1;-0,209042250927803
"ALLCHA";"quadrat2";92;21,2;3;3;5;1;0,129232383864122
"ALLCHA";"quadrat3";71;14,9;0;0;1,4;1;NA
"ALLCHA";"quadrat4";66;10,4;15;10;1,1;1;-0,591917012601486
"ALLCHA";"quadrat5";96;27,2;17;13;1,6;1;0,0227203725469055
"ALLCHA";"quadrat6";79;23,9;2;2;1,6;1;-0,310170865581755
"ALLCHA";"quadrat7";78;31,5;16;12;1,4;1;-0,340625606734331
"ALLCHA";"quadrat8";81;47,4;0;0;4,4;1;NA
"ALLCHA";"quadrat9";68;17,1;8;6;1,5;1;-0,531007530296334
"ALLCHA";"quadrat10";75;11,2;8;4;1,8;1;-0,377625312114079
"ALLsp";"quadrat1";96;61;20;6;3;2;0,0988306978560794
"ALLsp";"quadrat2";91;14;134;21;0,9;2;-0,113243977792582
"ALLsp";"quadrat3";92;86;5;5;3,4;2;0,0422491549393518
"ALLsp";"quadrat4";93;17;57;27;1,6;2;-0,0360251400640347
"ALLsp";"quadrat5";95;20;99;48;3,6;2;0,111867571165888
"ALLsp";"quadrat6";94;24;63;26;4,4;2;0,135777348091293
"ALLsp";"quadrat7";95;17;209;62;4,2;2;0,144486282012677
"ALLsp";"quadrat8";84;35;0;0;1,8;2;NA
"ALLsp";"quadrat9";92;12;82;24;2,4;2;-0,0121153631386295
"ALLsp";"quadrat10";86;23;60;29;3,6;2;-0,0643689666669321
"AMBART";"quadrat1";6;42,2;49;33;4,5;2;-1,58198790335515
"AMBART";"quadrat2";4;40,4;36;26;0;2;-1,86579190978003
"AMBART";"quadrat3";3;42,7;0;0;3,1;2;NA
"AMBART";"quadrat4";6;49,8;10;10;0;2;-1,82662823470607
"AMBART";"quadrat5";11;34,9;81;43;2,3;2;-1,60368065544181
