"species";"quadrat_num";"vegetation_cover";"height_max";"count_TRUE";"occupied_cells_TRUE";"veg_height_median";"species_conspicuousness"
"ALLCHA";"quadrat1";80;22,4;8;4;3,1;1
"ALLCHA";"quadrat2";92;21,2;3;3;5;1
"ALLCHA";"quadrat3";71;14,9;0;0;1,4;1
"ALLCHA";"quadrat4";66;10,4;15;10;1,1;1
"ALLCHA";"quadrat5";96;27,2;17;13;1,6;1
"ALLCHA";"quadrat6";79;23,9;2;2;1,6;1
"ALLCHA";"quadrat7";78;31,5;16;12;1,4;1
"ALLCHA";"quadrat8";81;47,4;0;0;4,4;1
"ALLCHA";"quadrat9";68;17,1;8;6;1,5;1
"ALLCHA";"quadrat10";75;11,2;8;4;1,8;1
"ALLsp";"quadrat1";96;61;20;6;3;2
"ALLsp";"quadrat2";91;14;134;21;0,9;2
"ALLsp";"quadrat3";92;86;5;5;3,4;2
"ALLsp";"quadrat4";93;17;57;27;1,6;2
"ALLsp";"quadrat5";95;20;99;48;3,6;2
"ALLsp";"quadrat6";94;24;63;26;4,4;2
"ALLsp";"quadrat7";95;17;209;62;4,2;2
"ALLsp";"quadrat8";84;35;0;0;1,8;2
"ALLsp";"quadrat9";92;12;82;24;2,4;2
"ALLsp";"quadrat10";86;23;60;29;3,6;2
"AMBART";"quadrat1";6;42,2;49;33;4,5;2
"AMBART";"quadrat2";4;40,4;36;26;0;2
"AMBART";"quadrat3";3;42,7;0;0;3,1;2
"AMBART";"quadrat4";6;49,8;10;10;0;2
"AMBART";"quadrat5";11;34,9;81;43;2,3;2
"AMBART";"quadrat6";13;74,5;15;13;2,4;2
"AMBART";"quadrat7";13;97,7;171;48;3,4;2
"AMBART";"quadrat8";5;52,6;0;0;0;2
"AMBART";"quadrat9";14;42,3;187;54;0;2
"AMBART";"quadrat10";8;71,4;17;10;0;2
"ANAPYR";"quadrat1";91;67,2;26;16;20,1;4
"ANAPYR";"quadrat2";80;66,2;44;34;17,4;4
"ANAPYR";"quadrat3";82;39,2;0;0;15,6;4
"ANAPYR";"quadrat4";79;71;24;19;22,3;4
"ANAPYR";"quadrat5";75;49,6;17;15;20;4
"ANAPYR";"quadrat6";94;60,8;60;46;24,3;4
"ANAPYR";"quadrat7";78;69,6;65;50;11,4;4
"ANAPYR";"quadrat8";87;69,5;0;0;18,6;4
"ANAPYR";"quadrat9";92;84,6;39;30;22;4
"ANAPYR";"quadrat10";87;62;58;41;10,7;4
"BRORUB";"quadrat1";34;14,8;83;46;3,4;1
"BRORUB";"quadrat2";32;25,5;76;41;2,6;1
"BRORUB";"quadrat3";37;33,1;5;1;5;1
"BRORUB";"quadrat4";25;24,6;118;45;1,3;1
"BRORUB";"quadrat5";45;24,6;8;7;4,7;1
"BRORUB";"quadrat6";35;39,5;9;8;3,5;1
"BRORUB";"quadrat7";26;25,1;295;79;6,4;1
"BRORUB";"quadrat8";76;26,9;1;1;6,3;1
"BRORUB";"quadrat9";46;19,4;81;41;5,4;1
"BRORUB";"quadrat10";24;18,4;235;57;3,9;1
"CALARV2";"quadrat1";70;59;13;8;1,9;2
"CALARV2";"quadrat2";86;15,5;20;13;3;2
"CALARV2";"quadrat3";89;18,8;1;1;4,7;2
"CALARV2";"quadrat4";75;23,8;68;38;4,2;2
"CALARV2";"quadrat5";87;11,5;36;21;3,1;2
"CALARV2";"quadrat6";88;18,9;31;19;2,5;2
"CALARV2";"quadrat7";84;17,3;116;58;2,9;2
"CALARV2";"quadrat8";71;12,2;0;0;2,4;2
"CALARV2";"quadrat9";96;19,8;48;34;3,9;2
"CALARV2";"quadrat10";87;17,5;27;24;2,5;2
"CARFLA";"quadrat1";89;40;56;34;7,9;1
"CARFLA";"quadrat2";69;45,1;95;39;0;1
"CARFLA";"quadrat3";66;28,7;0;0;12,3;1
"CARFLA";"quadrat4";98;50;98;48;16,6;1
"CARFLA";"quadrat5";72;26,3;78;44;5,1;1
"CARFLA";"quadrat6";84;30,2;86;37;7,6;1
"CARFLA";"quadrat7";94;34,5;113;53;9,7;1
"CARFLA";"quadrat8";86;38,8;0;0;18,2;1
"CARFLA";"quadrat9";94;34,2;244;67;9,1;1
"CARFLA";"quadrat10";95;56,7;128;49;15,7;1
"CHRALT";"quadrat1";99;22,8;57;28;10,1;2
"CHRALT";"quadrat2";98;17,4;100;34;5,8;2
"CHRALT";"quadrat3";100;20,4;0;0;4,7;2
"CHRALT";"quadrat4";94;19,1;16;5;4,3;2
"CHRALT";"quadrat5";98;13,7;10;8;3,3;2
"CHRALT";"quadrat6";100;13,4;34;17;4,4;2
"CHRALT";"quadrat7";99;17,6;75;34;7,2;2
"CHRALT";"quadrat8";97;20,6;0;0;5,7;2
"CHRALT";"quadrat9";100;17,7;240;72;7,5;2
"CHRALT";"quadrat10";99;15,1;32;17;4,8;2
"EPIAPH";"quadrat1";90;36,2;5;3;3,1;2
"EPIAPH";"quadrat2";98;57,5;5;3;5,4;2
"EPIAPH";"quadrat3";98;21,8;0;0;3,4;2
"EPIAPH";"quadrat4";97;71,9;47;8;6;2
"EPIAPH";"quadrat5";87;27,6;10;3;3;2
"EPIAPH";"quadrat6";98;21,6;5;3;5,5;2
"EPIAPH";"quadrat7";32;31,7;4;1;9,8;2
"EPIAPH";"quadrat8";97;32,1;0;0;8,7;2
"EPIAPH";"quadrat9";7;14,8;4;4;2,9;2
"EPIAPH";"quadrat10";28;22;3;1;1,8;2
"EQUTEL";"quadrat1";97;81,7;9;7;45,9;4
"EQUTEL";"quadrat2";96;105,5;39;28;35;4
"EQUTEL";"quadrat3";97;106;1;1;35,7;4
"EQUTEL";"quadrat4";95;107,9;59;41;49,6;4
"EQUTEL";"quadrat5";100;94,8;28;25;53,5;4
"EQUTEL";"quadrat6";98;99,9;16;13;32,7;4
"EQUTEL";"quadrat7";86;83,2;69;52;22,7;4
"EQUTEL";"quadrat8";95;112,5;0;0;62,9;4
"EQUTEL";"quadrat9";99;75;16;14;63,6;4
"EQUTEL";"quadrat10";98;84,4;34;26;30,7;4
"ERIANN";"quadrat1";96;98,3;40;22;50,5;4
"ERIANN";"quadrat2";97;91,6;75;43;53,5;4
"ERIANN";"quadrat3";100;109,4;0;0;33,4;4
"ERIANN";"quadrat4";99;87,2;51;35;42,8;4
"ERIANN";"quadrat5";97;100,1;16;12;26,5;4
"ERIANN";"quadrat6";100;103,9;23;15;37,7;4
