"species";"date";"obs_id";"obs_letter";"quadrat_num";"count_30s";"count_1m";"counting_time_1m";"count_cells";"counting_time_cells";"count_TRUE";"prop_30s";"prop_1m";"prop_cells";"quadrat_order_30s";"quadrat_order_1m";"quadrat_order_cells"
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat1";9;10;30;17;175;19;0,473684210526316;0,526315789473684;0,894736842105263;1;5;9
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat2";52;66;101;136;620;197;0,263959390862944;0,33502538071066;0,690355329949239;2;6;1
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat3";1;3;101;0;45;11;0,0909090909090909;0,272727272727273;0;3;4;7
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat4";35;44;33;77;342;84;0,416666666666667;0,523809523809524;0,916666666666667;4;8;3
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat5";36;43;45;64;372;161;0,22360248447205;0,267080745341615;0,397515527950311;5;3;6
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat6";42;75;56;103;350;126;0,333333333333333;0,595238095238095;0,817460317460317;6;9;4
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat7";45;112;67;114;410;240;0,1875;0,466666666666667;0,475;7;7;5
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat8";0;0;60;2;190;1;0;0;2;8;1;10
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat9";65;101;70;173;550;209;0,311004784688995;0,483253588516746;0,827751196172249;9;10;2
"PLALAN";2020-10-07;"obs_xdtr";"A";"quadrat10";15;19;35;27;255;48;0,3125;0,395833333333333;0,5625;10;2;8
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat1";9;15;80;19;285;19;0,473684210526316;0,789473684210526;1;9;3;7
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat2";40;110;135;172;495;197;0,203045685279188;0,558375634517767;0,873096446700508;10;4;9
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat3";0;0;90;5;150;11;0;0;0,454545454545455;1;2;5
"PLALAN";2020-10-07;"obs_jdpu";"C";"quadrat4";48;71;90;80;390;84;0,571428571428571;0,845238095238095;0,952380952380952;2;6;1
