model_id;(Intercept);count_TRUE;counting_method;counting_time_1m;counting_time_cells;exp_bota;habitat_closure;quadrat_order;quadrat_order_squared;species_conspicuousness;count_TRUE:counting_method;counting_method:exp_bota;counting_method:habitat_closure;counting_method:quadrat_order;counting_method:quadrat_order_squared;counting_method:species_conspicuousness;counting_time_1m:habitat_closure;counting_time_1m:species_conspicuousness;counting_time_cells:habitat_closure;counting_time_cells:species_conspicuousness;habitat_closure:species_conspicuousness;df;logLik;AICc;delta;weight
974719;-0,58568298;-0,004855038;+;0,17981282;0,075290838;0,044130625;-0,479507887;0,004376384;NA;0,173662804;+;+;+;+;NA;+;-0,016551576;NA;-0,040726112;0,009782075;0,140134155;27;-14339,92606;28734,20448;0;0.269800189824388
974847;-0,57590538;-0,004857409;+;0,179905296;0,075328113;0,044222082;-0,480272759;-0,001473105;0,000533782;0,174302537;+;+;+;+;NA;+;-0,01648634;NA;-0,040696654;0,009759698;0,14035641;28;-14339,58863;28735,55581;1,351328621;0.137279272561573
SELECTED_MODEL;-0,589319888;-0,004855776;+;0,170238638;0,074861546;0,044134502;-0,479825347;0,004405099;NA;0,175461201;+;+;+;+;NA;+;-0,019213103;0,005734619;-0,040826619;0,010016232;0,139768836;28;-14339,67719;28735,73294;1,528460212;0.125643878141145
1040383;-0,577149516;-0,00484806;+;0,169953183;0,074872926;0,044554989;-0,479988559;-0,001655296;0,000548578;0,174946847;+;+;+;+;NA;+;-0,019292165;0,005965952;-0,040812645;0,010007941;0,140061683;29;-14339,32045;28737,04658;2,842100841;0.0651460209567604
983039;-0,561419429;-0,004856207;+;0,180379566;0,075423806;0,044284445;-0,479636047;-0,008025383;0,001130797;0,173583588;+;+;+;+;+;+;-0,016654669;NA;-0,040732801;0,009778629;0,140168316;30;-14338,38338;28737,20053;2,996048465;0.0603196194518044
941951;-0,585543283;-0,004850762;+;0,178092519;0,075547676;0,04382165;-0,478490617;0,004355454;NA;0,173430392;+;+;+;+;NA;+;NA;NA;-0,0401422;0,0096074;0,140537222;26;-14342,46406;28737,25524;3,050763675;0.0586917874539514
1023871;-0,634776569;-0,004816716;+;0,142333108;0,072270202;0,04473355;-0,49011554;0,004430006;NA;0,195011646;+;+;+;+;NA;NA;-0,02710998;0,021845085;-0,041523091;0,011480979;0,139311364;26;-14343,03922;28738,40556;4,20108288;0.0330208839196724
942079;-0,576802004;-0,004852033;+;0,178234516;0,075561944;0,04387034;-0,478203829;-0,001554382;0,000536439;0,174864706;+;+;+;+;NA;+;NA;NA;-0,040132745;0,009608234;0,140321309;27;-14342,11862;28738,5896;4,385121999;0.0301179291690087
1048575;-0,564457139;-0,004861342;+;0,170010159;0,074935652;0,044339879;-0,47985985;-0,008039776;0,001132461;0,175278352;+;+;+;+;+;+;-0,019506117;0,006210683;-0,040846047;0,010046803;0,139822594;31;-14338,09507;28738,65294;4,448459641;0.0291790745361842
1007487;-0,585256521;-0,00484902;+;0,183427445;0,075757967;0,043857042;-0,478375016;0,004335853;NA;0,173284149;+;+;+;+;NA;+;NA;-0,003104657;-0,040152176;0,009501736;0,140623326;27;-14342,37563;28739,10362;4,899144579;0.023291986110928
974207;-0,634486296;-0,004607556;+;0,18313509;0,076446187;0,044349806;-0,483476545;0,004386402;NA;0,183494156;NA;+;+;+;NA;+;-0,016265664;NA;-0,041078506;0,010121895;0,140465237;25;-14344,42217;28739,14715;4,942673687;0.0227905232749885
1023999;-0,619898558;-0,00481899;+;0,142251673;0,072259726;0,044823729;-0,490203333;-0,001995545;0,000583874;0,194013299;+;+;+;+;NA;NA;-0,027140586;0,021971434;-0,04151341;0,011487694;0,139449704;27;-14342,62908;28739,61052;5,40604257;0.0180773606425754
950271;-0,56070955;-0,004848627;+;0,178639766;0,075683358;0,043997783;-0,478583703;-0,008439496;0,001165437;0,173468817;+;+;+;+;+;+;NA;NA;-0,040150795;0,009605298;0,140559983;29;-14340,94895;28740,3036;6,099120565;0.0127830664924671
974335;-0,620317689;-0,004610968;+;0,183219272;0,076469707;0,044439468;-0,483647207;-0,002140859;0,000593552;0,18295737;NA;+;+;+;NA;+;-0,016243866;NA;-0,041051682;0,01010289;0,140628868;26;-14344,00263;28740,33239;6,127909072;0.012600381751814
1039743;-0,636790391;-0,004614334;+;0,17118949;0,075920897;0,044451341;-0,484326167;0,004387273;NA;0,184969851;NA;+;+;+;NA;+;-0,019606209;0,007114009;-0,04122106;0,010433025;0,140314523;26;-14344,04897;28740,42505;6,220576484;0.0120298782017595
1007615;-0,574767293;-0,004852146;+;0,18318066;0,075770371;0,043912933;-0,479029472;-0,001473042;0,000528785;0,173648083;+;+;+;+;NA;+;NA;-0,002895728;-0,040117014;0,009491718;0,140797295;28;-14342,04063;28740,45982;6,255342563;0.0118225694045939
1023359;-0,663375976;-0,00462002;+;0,147766744;0,074877114;0,044851272;-0,491068038;0,004411208;NA;0,197949612;NA;+;+;+;NA;NA;-0,025931414;0,020218765;-0,041458208;0,010998577;0,139822933;24;-14346,15446;28740,58838;6,383900902;0.0110865337510254
1032191;-0,608869823;-0,004818458;+;0,142571892;0,072391436;0,044937799;-0,492433583;-0,008101965;0,001140301;0,19394084;+;+;+;+;+;NA;-0,027331923;0,022081173;-0,041532552;0,011483751;0,140285305;29;-14341,35519;28741,11606;6,911584486;0.0085155116826761
1039871;-0,62293127;-0,004616966;+;0,170931062;0,075944382;0,044559215;-0,484860128;-0,002325343;0,00060963;0,18463892;NA;+;+;+;NA;+;-0,019672665;0,007326545;-0,041189807;0,010410563;0,140532801;27;-14343,60383;28741,56002;7,355540517;0.00682035408454097
1023487;-0,647819798;-0,004623805;+;0,147672297;0,074848974;0,044948398;-0,49155164;-0,002584582;0,000636066;0,197192008;NA;+;+;+;NA;NA;-0,025954013;0,020337132;-0,041441245;0,011005844;0,140094943;25;-14345,67132;28741,64545;7,440971653;0.00653515340267579
982527;-0,607594348;-0,004611262;+;0,183629831;0,076606165;0,044505052;-0,484183469;-0,008303018;0,001155777;0,182561848;NA;+;+;+;+;+;-0,016354773;NA;-0,04108452;0,010121355;0,140839902;28;-14342,79493;28741,96841;7,763936639;0.00556064065752046
941439;-0,633851481;-0,004603736;+;0,181455593;0,076681579;0,044073845;-0,482612031;0,004344987;NA;0,183130611;NA;+;+;+;NA;+;NA;NA;-0,040498819;0,009933256;0,140939099;24;-14346,88023;28742,03992;7,835440513;0.00536534881478971
978943;-0,614881516;-0,004853827;+;0,179726297;0,075038082;0,043841759;-0,479784423;0,016239839;-0,000968733;0,174336369;+;+;+;NA;+;+;-0,01669525;NA;-0,04053858;0,009685341;0,140241879;28;-14342,85902;28742,09659;7,892108538;0.0052154604533467
1015807;-0,561973903;-0,00484892;+;0,183384795;0,07584491;0,044052646;-0,480604577;-0,008417702;0,001163562;0,173537291;+;+;+;+;+;+;NA;-0,002785793;-0,040156922;0,009522804;0,1413845;30;-14340,87639;28742,18656;7,982078696;0.00498604145415983
1048063;-0,610620338;-0,004617819;+;0,171008657;0,076054595;0,044588787;-0,484896386;-0,008288295;0,001154006;0,184458293;NA;+;+;+;+;+;-0,01989292;0,007537381;-0,041229462;0,010445644;0,140562338;29;-14342,37572;28743,15712;8,952643578;0.00306902480525298
1031679;-0,634904819;-0,004624676;+;0,147871556;0,075032652;0,044987999;-0,49046267;-0,008319007;0,001159086;0,196612197;NA;+;+;+;+;NA;-0,026134153;0,020479659;-0,041459885;0,010999929;0,139721992;27;-14344,42572;28743,2038;8,999323351;0.00299822357518778
941567;-0,62005644;-0,004606074;+;0,181534158;0,076679192;0,04414689;-0,482929143;-0,002277012;0,000601632;0,182804428;NA;+;+;+;NA;+;NA;NA;-0,040478669;0,009927075;0,14112103;25;-14346,4528;28743,20841;9,003933495;0.00299132041420492
1044479;-0,617103812;-0,004856637;+;0,169255087;0,074541743;0,043994578;-0,480243349;0,016071634;-0,000954322;0,175665858;+;+;+;NA;+;+;-0,019659592;0,006298307;-0,040671642;0,009964764;0,139877519;29;-14342,56559;28743,53687;9,332396197;0.00253827203590027
1006975;-0,633080687;-0,00460216;+;0,184626905;0,076792588;0,044064528;-0,482856547;0,004348919;NA;0,182632038;NA;+;+;+;NA;+;NA;-0,001844752;-0,04049519;0,00986925;0,141111581;25;-14346,84708;28743,99697;9,792495335;0.00201664245940866
949759;-0,606798011;-0,004607197;+;0,181918401;0,07680636;0,044221597;-0,483593934;-0,008735067;0,001190835;0,182464037;NA;+;+;+;+;+;NA;NA;-0,040509185;0,00994847;0,141370533;27;-14345,27917;28744,91071;10,70622838;0.0012770688068352
978879;-0,579208377;-0,004854702;+;0,179877549;0,074927326;0,044193184;-0,479222484;NA;0,00043264;0,173802225;+;+;+;NA;+;+;-0,016509354;NA;-0,040433849;0,009650901;0,140160173;27;-14345,29706;28744,94649;10,74201314;0.00125442220847547
1007103;-0,619771694;-0,004604533;+;0,184409625;0,076789813;0,044163899;-0,482673177;-0,002181132;0,000593685;0,182474994;NA;+;+;+;NA;+;NA;-0,001659834;-0,040471392;0,009861026;0,141095606;26;-14346,42626;28745,17965;10,97516734;0.00111638744689325
946175;-0,615055504;-0,004848343;+;0,177992793;0,075241549;0,043555089;-0,479528973;0,015956679;-0,000945356;0,174385863;+;+;+;NA;+;+;NA;NA;-0,039966664;0,009542487;0,140864319;27;-14345,44991;28745,25219;11,04771441;0.00107661778169503
1028095;-0,660458047;-0,00481797;+;0,14203919;0,071888024;0,044471005;-0,492104393;0,015696566;-0,000918048;0,194448119;+;+;+;NA;+;NA;-0,027347523;0,02200979;-0,041380605;0,011466991;0,14019212;27;-14345,81234;28745,97705;11,7725702;0.000749309283534792
1044415;-0,581795681;-0,00485123;+;0,16846265;0,074398252;0,044117894;-0,481714634;NA;0,000432328;0,175084838;+;+;+;NA;+;+;-0,019710052;0,006848834;-0,040567267;0,00994431;0,140518286;28;-14344,95145;28746,28145;12,07697113;0.000643518877881149
1015295;-0,60672872;-0,004605782;+;0,184637118;0,076921074;0,044228809;-0,483108347;-0,008745025;0,001192388;0,182374553;NA;+;+;+;+;+;NA;-0,001575647;-0,040502166;0,009883858;0,141249594;28;-14345,25519;28746,88894;12,684466;0.000474947335508327
978431;-0,66094459;-0,004606694;+;0,183034105;0,076206553;0,044136395;-0,483662366;0,015886901;-0,000937378;0,183238713;NA;+;+;NA;+;+;-0,016428946;NA;-0,040909028;0,010054345;0,140640912;26;-14347,38411;28747,09533;12,89085474;0.000428379530418749
1011711;-0,612538531;-0,004847814;+;0,182816672;0,075462427;0,043573324;-0,478314362;0,016086359;-0,000956796;0,173127763;+;+;+;NA;+;+;NA;-0,002810306;-0,039955485;0,00942416;0,140737963;28;-14345,37805;28747,13465;12,93016714;0.00042004143194355
946111;-0,579372314;-0,004848739;+;0,178143555;0,07516996;0,043824248;-0,479657137;NA;0,000430807;0,173653371;+;+;+;NA;+;+;NA;NA;-0,039873169;0,009498569;0,14100665;26;-14347,81846;28747,96404;13,75955931;0.000277454587133
1027583;-0,687366079;-0,004620977;+;0,147389293;0,074550379;0,044639052;-0,491749981;0,015415167;-0,000894627;0,197149444;NA;+;+;NA;+;NA;-0,026156007;0,02040955;-0,041310346;0,010980249;0,140230491;25;-14348,9774;28748,25761;14,05313594;0.000239575583148609
1043967;-0,660754035;-0,004614105;+;0,170274115;0,075672166;0,044194282;-0,483998491;0,015684654;-0,000920828;0,184030003;NA;+;+;NA;+;+;-0,019974221;0,007604836;-0,041049315;0,010370634;0,140327796;27;-14346,9592;28748,27076;14,06628479;0.000238005678478977
1028031;-0,622318975;-0,004819492;+;0,141845788;0,071716201;0,044715462;-0,489721675;NA;0,000435807;0,19262622;+;+;+;NA;+;NA;-0,027206908;0,02223939;-0,041307043;0,011480973;0,139501428;26;-14348,08629;28748,4997;14,29521896;0.000212263292075987
991103;-0,649682468;-0,004787055;+;0,148157616;0,073338379;0,044351286;-0,492479116;0,004391338;NA;0,20044577;+;+;+;+;NA;NA;NA;0,016418202;-0,04046724;0,010820919;0,140401617;25;-14349,23796;28748,77873;14,57425405;0.00018462189136101
978367;-0,625569089;-0,004608223;+;0,183120067;0,076141942;0,044391665;-0,48381645;NA;0,000432937;0,182652339;NA;+;+;NA;+;+;-0,016231379;NA;-0,040791339;0,009996496;0,140815363;25;-14349,72393;28749,75067;15,54619566;0.000113560881823809
1011647;-0,57684938;-0,004847263;+;0,18205469;0,075347457;0,043838247;-0,479941934;NA;0,000431032;0,17230487;+;+;+;NA;+;+;NA;-0,002279546;-0,039846433;0,009394719;0,14135043;27;-14347,77122;28749,8948;15,69032254;0.00010566520543279
990591;-0,675825231;-0,004608022;+;0,152873372;0,075723973;0,044521295;-0,493561756;0,004364744;NA;0,203164853;NA;+;+;+;NA;NA;NA;0,015144598;-0,040451532;0,010401826;0,140873429;23;-14351,8486;28749,95425;15,74977082;0.000102570617981709
991231;-0,636599272;-0,004785484;+;0,148131066;0,073341183;0,044528299;-0,493052488;-0,00198178;0,000579856;0,199918116;+;+;+;+;NA;NA;NA;0,016501513;-0,040453102;0,010822205;0,140704941;26;-14348,83369;28749,9945;15,79002572;0.000100526770568096
945663;-0,660863552;-0,004601138;+;0,18131337;0,076418983;0,043873261;-0,483211363;0,015623624;-0,000916091;0,183252474;NA;+;+;NA;+;+;NA;NA;-0,040325515;0,009873114;0,141236571;25;-14349,89079;28750,08441;15,87992855;9.61080090462076e-05
