Species;Date;Locality;Latitude;Longitude;Predominant phenological stage;Habitat;Number of participants
Plantago lanceolata;07/10/2020;Montpellier (34090);43,637626;3,862455;Vegetative;Urban wasteland;6
Allium sp.;16/10/2020;Montpellier (34090);43,637626;3,862455;Vegetative;Grassland;3
Calendula arvensis;20/10/2020;Montpellier (34090);43,637626;3,862455;Flowering;Grassland;5
Sanguisorba minor;28/10/2020;Montpellier (34090);43,637626;3,862455;Vegetative;Urban wasteland;5
Allium chamaemoly;05/02/2021;Lattes (34970);43,55925;3,85525;Vegetative;Western Mediterranean scrubland;6
Euphorbia helioscopia;04/03/2021;Saint-Jean-de-Vedas (34430);43,559778;3,817777;Flowering;Dry calcareous grassland;4
Erodium cicutarium;18/03/2021;Clapiers (34077);43,659007;3,879907;Flowering;Western Mediterranean scrubland;6
Chrysosplenium alternifolium;13/04/2021;Valjouffrey (38740);44,862406;6,047475;Flowering;Alpine riparian forest;5
Fagus sylvatica;14/04/2021;Gap (05000);44,577981;6,052081;Seedling;Beech forest;6
Hieracium sp.;15/04/2021;Le Muy (83490);43,445526;6,585275;Vegetative;Western Mediterranean scrubland;7
Bromus rubens;16/04/2021;Marseille (13000);43,333977;5,412817;Flowering;Mediterranean grassland;6
Sherardia arvensis;23/04/2021;Clapiers (34077);43,659007;3,879907;Flowering;Western Mediterranean scrubland;6
Mentha suaveolens;05/05/2021;Montferrier-sur-Lez (34980);43,649477;3,86721;Vegetative;Lowland hay meadow;5
Scabiosa atropurpurea;06/05/2021;Clapiers (34077);43,659755;3,877853;Vegetative;Mediterranean pine forest;6
Ornitogalum angustifolium;11/05/2021;Mas-de-Londres (34380);43,802878;3,809151;Flowering;Mediterranean extensive pasture;5
Evax pygmaea;18/05/2021;Arles (13200);43,417361;4,701972;Flowering;Mediterranean sand annual grassland;7
Ophrys lutea;19/05/2021;Mas-de-Londres (34380);43,806;3,808472;Flowering;Mediterranean extensive pasture;5
Carex flacca;26/05/2021;Mas-de-Londres (34380);43,801953;3,809736;Vegetative;Mediterranean extensive pasture;6
Anacamptis pyramidalis;27/05/2021;Mas-de-Londres (34380);43,805981;3,808473;Flowering;Mediterranean extensive pasture;5
Rumex acetosella;07/06/2021;Orsay (91400);48,703929;2,167768;Flowering;Lowland hay meadow;5
Equisetum telmateia;11/06/2021;Orsay (91400);48,704503;2,169774;Vegetative;Megaphorb;7
Linaria vulgaris;15/06/2021;Haulme (08800);49,863495;4,786221;Vegetative;Lowland hay meadow;7
Melampyrum arvense;16/06/2021;Rancennes (08600);50,116718;4,833609;Flowering;Lowland hay meadow;8
Veronica chamaedrys;17/06/2021;Haulme (08800);49,865149;4,788674;Flowering;Frequently mown meadow;5
Limonium narbonense;25/06/2021;Le Sambuc (13200);43,52452;4,703264;Vegetative;Salt meadow;5
Erigeron annuus;28/06/2021;Creys-Mepieu (38510);45,745803;5,440143;Flowering;Lowland hay meadow;5
Ambrosia artemisiifolia;07/07/2021;Avignon (84140);43,900147;4,88635;Vegetative;River gravel bank;6
Limonium girardianum;28/07/2021;Le Grau-du-Roi (30240);43,464019;4,219594;Vegetative;Salt steppe;6
Euphorbia peplis;29/07/2021;Vic-la-Gardiole (34110);43,480132;3,841074;Flowering;Sand beach;7
Epipogium aphyllum;06/08/2021;Crots (05200);44,484639;6,47025;Flowering;Pine forest;6
